,样本外_baseline,样本外_持有停牌,样本内
策略年化,0.28247935838805116,0.2864973193383049,0.43
年化波动,0.3472933045842683,0.34711467916178673,0.324
夏普,0.7557858297966765,0.7677500703278904,1.27
信息比率,1.027093858160291,1.0433179627557025,2.64
最大回撤,0.500587954022766,0.5005879540227661,0.555
卡玛,0.5642951575602725,0.5723216410542619,0.78
基准年化,0.02930867089119471,0.02930867089119471,0.097
超额年化,0.25317068749685645,0.2571886484471102,0.333
