industry,cap
医药,0.096391901863812
交通运输,0.057941644481009254
基础化工,0.05748858031073056
国防军工,0.05587122626139836
非银行金融,0.05551681907742651
电力及公用事业,0.054968450363771154
电子元器件,0.05269807282782443
房地产,0.045985287386712634
煤炭,0.04559004147885893
计算机,0.042864234902743194
钢铁,0.041591890220477545
有色金属,0.0410841722398422
机械,0.03799758041901072
电力设备,0.036674997637585346
建材,0.03199246379075853
食品饮料,0.03175486120084972
传媒,0.028508406440782463
汽车,0.026710250884469478
建筑,0.021250354459783346
通信,0.019729443601830318
农林牧渔,0.019560120102110615
银行,0.017586773181741407
石油石化,0.016336783172372374
商贸零售,0.016114551016731364
轻工制造,0.013135033251016748
家电,0.012457333189724605
综合,0.009611409747164984
餐饮旅游,0.006717876513056091
纺织服装,0.005869439976405162
