industry,cap
银行,0.2145167962261012
非银行金融,0.10280592998648193
食品饮料,0.10186275156119427
医药,0.07525665319125877
汽车,0.06232824432784799
电子元器件,0.05271505316549744
石油石化,0.04357418154220135
电力设备,0.03592288235401513
交通运输,0.03147352246681771
有色金属,0.03009307786946933
电力及公用事业,0.028132822157688992
机械,0.02168692134328229
家电,0.021412340995564206
通信,0.020925161137211497
煤炭,0.018650527032236023
房地产,0.018617300960970987
建筑,0.017894011312497286
基础化工,0.01633729322919106
计算机,0.016061471762385742
农林牧渔,0.013791278950619329
国防军工,0.012423098882295862
建材,0.010196567095389778
餐饮旅游,0.0077248127364588585
钢铁,0.00766371283090744
传媒,0.007421881014821547
轻工制造,0.006800795204158231
商贸零售,0.002390046840603912
综合,0.0007518855817467685
纺织服装,0.0005689782410849518
