label,start,end,strat,bench,deepest_dd
2024 踩踏 · 研报待办指定窗口 2024-01-02~02-08,2024-01-02,2024-02-08,-0.44515276338533327,-0.14717022730298246,0.500587954022766
2015 股灾 · 研报最大回撤窗口 2015-06-12~07-08,2015-06-12,2015-07-08,-0.5551219025816578,-0.4592548850089936,0.5551219025816578
