industry,cap
机械,0.1711312089322945
基础化工,0.10087275030020108
纺织服装,0.09308472144149331
轻工制造,0.09027992369878696
通信,0.0790460203211346
商贸零售,0.05973266818912744
建材,0.05573477688009057
电力及公用事业,0.04980522430893042
房地产,0.03425948013100983
建筑,0.031897961367673006
电力设备及新能源,0.03168717543862051
计算机,0.03084534286340804
食品饮料,0.026731413140028595
医药,0.023802301858389704
交通运输,0.020634090500616355
农林牧渔,0.019428505208622153
传媒,0.0190469796355985
汽车,0.018935939259304303
电子,0.014177866691894164
消费者服务,0.013646800453761631
家电,0.008604140559709579
国防军工,0.006614708819304592
