,年化,波动,夏普,信息比率,最大回撤,超额_中证1000,超额_中证2000
小市值100基准,0.2978085387222338,0.32811256159098845,0.8466866900040798,1.0064950192911366,0.4818256684810156,0.2514811336967073,0.21163290990810069
小市值50,0.33580453077162353,0.3425636788005348,0.9218856239441182,1.0875665043766207,0.4931584975763874,0.2894771257460971,0.24962890195749043
小市值低波50,0.270774306504582,0.32117248566527556,0.7808088105216391,0.8956020661155863,0.482348259725771,0.22444690147905555,0.1845986776904489
择时低波50,0.2615471957703237,0.2800747939515754,0.8624381807528417,0.8468124023980329,0.3392158290715369,0.21521979074479725,0.1753715669561906
★旗舰双周低波50,0.18831595010263746,0.2837008856818872,0.5932866571709245,0.5598643300534056,0.34334864470763093,0.141988545077111,0.10214032128850437
保留六月,0.18236019673691728,0.29809623575471317,0.5446569840972916,0.5232951184190194,0.38717087008972995,0.13603279171139082,0.09618456792278418
