,2022,2023,2024,2025,2026
策略年化收益率,0.24389096963941137,0.486647149966146,-0.013613288353429676,0.7353359310468686,0.04361208249367121
基准年化收益率,-0.21646373085128334,-0.06299276460803316,0.011882043438147027,0.27507695740417626,0.01856711968245639
超额年化收益率,0.4603547004906947,0.5496399145741792,-0.025495331791576703,0.4602589736426923,0.02504496281121482
策略最大回撤,0.21895221547596533,0.1397529861451876,0.500587954022766,0.18012129420649348,0.30955561799352704
