industry,cap
基础化工,0.12099911892917206
医药,0.11215422406359014
电子,0.10161815487388867
电力设备及新能源,0.08206480916953142
计算机,0.07615988328569141
机械,0.06133262582522543
有色金属,0.058684466497116776
国防军工,0.04463102853422421
电力及公用事业,0.03781602624501496
汽车,0.02772961325761342
通信,0.026569015135014397
建筑,0.02627334928825128
食品饮料,0.02360290378362149
传媒,0.021134975710852114
交通运输,0.01979189015695164
农林牧渔,0.019584828693935175
房地产,0.018473020961550957
建材,0.01779356403408457
轻工制造,0.01743807327094823
煤炭,0.01474402395195335
钢铁,0.01227088405778414
商贸零售,0.012078583837806457
石油石化,0.009997688453063949
家电,0.007150764262979468
非银行金融,0.0066289718580558885
综合,0.006161605197577476
银行,0.005509419558780753
消费者服务,0.004540228977280869
纺织服装,0.0044219180753891476
综合金融,0.002644340053050118
