,小市值100,沪深300,中证500,中证1000
2013-01-07,0.004919093851132681,0.00023327939590067626,-0.004269012944983941,
2013-02-04,0.0022087378640776693,0.0002346278317152395,-0.0014716828478963384,
2013-03-04,0.0036491505345502967,-0.0028829404915794443,-0.005927226376124861,
2013-04-02,0.00035280590886673305,-0.0008488376093862549,-0.0028125925513283745,
2013-05-03,0.0030268839684968116,-0.003318811016387313,-0.00584021022237724,
2013-06-04,0.003003240178209802,0.00010395571756449673,-0.0024835965978129426,
2013-07-02,0.0054840016200891,-0.00734845416497909,-0.011256784123126806,
2013-08-02,0.008502354643281713,-0.0017425208183855512,-0.005125793223327513,
2013-09-03,0.0029008454549814475,0.00036659212244527506,0.00332890820089371,
2013-10-09,0.005727604377786778,-0.003017760864820196,-0.0028293473854884565,
2013-11-04,0.004012971220105386,0.0012606404539928784,0.0008236724766922388,
2013-12-03,0.006457235508715031,-0.0010903931901095065,-0.00306566680178344,
2014-01-03,0.008542644594219054,-0.006051574461990672,-0.008430581077023769,
2014-02-10,0.004533603371563659,-0.004750823276796323,-0.007678764620260403,
2014-03-04,0.0037538922868166,-0.001702378661913917,-0.002043365771166483,
2014-04-02,0.005039745627980919,0.0026815050344460856,0.007586645468998454,
2014-05-06,0.007261526232114464,-0.0016149973502914694,-0.004423290937996871,
2014-06-04,0.006556041335453098,-0.000894276629570645,-0.002995230524642234,
2014-07-02,0.004885034628949441,-0.0020593323616687753,-0.005235954339315119,
2014-08-04,0.007711445541914504,0.0026930254554533573,0.0069355901231762385,
2014-09-02,0.0070696129186966945,-0.0018145573684231753,-0.005951360838663988,
2014-10-09,0.010445131597982445,-0.00086111578151149,-0.004463841761591536,
2014-11-04,0.006483940309552835,0.0003208513674811675,0.0005915587212818041,
2014-12-02,0.00962303018286887,0.0004268218803189505,-0.0017359528744527175,-0.003810199436170225
2015-01-06,0.005824293760894307,0.0004907194323194863,0.009619632978953185,-0.00568668510385667
2015-02-03,0.002343048943485696,-0.0006450687416749146,-0.008218159931801305,0.00548060865767469
2015-03-03,0.008994186549013215,-0.001089597642909057,-0.0033627626479683093,0.005610801337598004
2015-04-02,0.017664638477456866,-0.0016785154915718303,-0.004529023877456462,0.0019821842432447
2015-05-05,0.014650141834391457,-0.0018870374567082626,-0.0035277512020479573,-0.0008927864012025499
2015-06-02,0.038600402379371825,-0.003763885234387976,-0.014244051978215655,0.0009409974153664069
2015-07-02,-0.002402718225563094,-0.0008916352969088326,0.005939560077379391,0.0033995627164986053
2015-08-04,0.014049214996934498,-0.0006441884248803431,0.0111358110922265,-0.014612940663442542
2015-09-02,0.014206834532374098,0.0001414868105515943,-0.007602517985611512,-0.003036245702233431
2015-10-09,0.015253597122302166,-0.0022589928057554776,-0.01135791366906469,0.0115774248071423
2015-11-03,0.01856654676258994,-0.0015923261390887733,-0.0037000000000000366,-0.0028719193320043135
2015-12-02,0.023838129496402863,-0.00030335731414865563,-0.00902338129496405,-0.004815123804570831
2016-01-05,0.022459150628215373,-0.001976657247223179,-0.00784622199676166,0.0044816450927405715
2016-02-02,0.0006079984994575745,-0.0010577658139935275,-0.0024700629112550665,-0.006327046864954777
2016-03-02,0.013976041835166618,0.00012998844090383876,0.0026254225978646906,-0.0012317903072577852
2016-04-05,0.010094576592193118,0.0002976467535523719,-0.005977577683615842,0.0015653617858052415
2016-05-04,0.0030990599525383897,-0.0002584303085666484,-0.0017210932302681448,-0.0021492484613819807
2016-06-02,0.005382292635859265,-0.0013870202445360746,-0.004648580486676268,-0.0006947114713079516
2016-07-04,0.011552781447190241,-0.001655806914377389,-0.006589998076609427,-0.0017673796727282198
2016-08-02,0.00247040949901927,5.723526394929568e-05,0.008384846802580337,-0.0022243431819489734
