,2012.12-2016,2017-2018,2019-2022.3
周一,-0.0005179109051723927,-0.0010133826852396898,0.0016031981895030492
周二,0.0010020720791640183,0.0032054150675638955,0.00044370592203621276
周三,0.0015102341219257157,0.00027339685039643607,0.0007358551020085263
周四,-0.002166021601378392,-0.0015330318607815366,-0.00219666171443646
周五,0.00011083297694877356,-0.0009420564175143226,-0.0005539993700536429
