,盈利,亏损
2012-12-04,0.2142970378486806,
2013-01-07,0.39790928676080695,0.4217749569409437
2013-02-04,0.4247372056012859,0.44643813642258223
2013-03-04,0.5742493498676307,0.28466192262484413
2013-04-02,0.4480796276421457,0.3561236572712325
2013-05-03,0.2743482898473666,
2013-06-04,0.45632822050079946,0.2201293368806272
2013-07-02,0.4209347979866713,
2013-08-02,0.40385642346058126,0.3402062623769915
2013-09-03,0.4735265258929111,
2013-10-09,0.43698231040035784,0.32868411866308533
2013-11-04,0.4516161525632525,0.5119493078629651
2013-12-03,0.4201561777649778,0.4953713712814347
2014-01-03,0.45951178711258267,0.33608539752238253
2014-02-10,0.4350679330556111,0.5553439133856881
2014-03-04,0.5905035177063414,0.4387402173430037
2014-04-02,0.45348285164819013,0.4023718943353536
2014-05-06,0.4377929247440182,0.3494367123935267
2014-06-04,0.3760354844781726,
2014-07-02,0.3773718452809638,
2014-08-04,0.31192575443912807,
2014-09-02,0.24475432090921712,
2014-10-09,0.4294814078876812,0.3185200195148503
2014-11-04,0.4576980246377458,0.30962008940979957
2014-12-02,,0.2725417680119575
2015-01-06,0.33802982097777856,
2015-02-03,0.3691266146463461,
2015-03-03,0.25877807609104764,
2015-04-02,0.39825028665811657,
2015-05-05,0.27841898008681576,
2015-06-02,0.4338937396539726,0.2264500964299372
2015-07-02,0.4622783634708616,0.27088986082826727
2015-08-04,0.5132544379173796,0.2258548326383325
2015-09-02,0.2605052026381458,
2015-10-09,0.2792808420066719,
2015-11-03,0.2910769415572416,
2015-12-02,0.4598510225151853,0.32767998208259175
2016-01-05,,0.15791530617027427
2016-02-02,0.5164296360946841,0.48749580171839946
2016-03-02,0.2012878685160313,
2016-04-05,0.33017493930750086,
2016-05-04,0.5012483195424589,0.29994900714519557
2016-06-02,0.494327498471836,0.35720957015141974
2016-07-04,0.6107759355172842,0.3889884144101736
2016-08-02,0.26997055757258126,
2016-09-02,0.4024969734001673,
2016-10-11,0.4376120428128647,0.40105514896181593
2016-11-02,0.48474053564831365,0.39338309882219846
2016-12-02,0.47336798604831976,0.4296107256975621
2017-01-04,0.4019633086614205,0.27461792453936096
2017-02-06,0.37016061110436294,
2017-03-02,0.5591467912250714,0.27930175183187167
2017-04-06,,0.20370681493253562
2017-05-03,,0.25402310665849104
2017-06-02,0.26981346073960655,
2017-07-04,0.3440210144474787,0.2762016498185176
2017-08-02,0.35534803767900125,
2017-09-04,0.506342206762288,0.4538910146117019
2017-10-10,0.5026447524537301,0.32862979630582445
2017-11-02,0.5146504144325326,0.23932384874769586
2017-12-04,0.44864925938301004,0.3529174161943116
2018-01-03,,0.2260245579116067
2018-02-02,0.43143554994286104,0.4648968726719318
2018-03-02,0.4349399958460016,
2018-04-03,0.46895150095723515,0.3237208255525028
2018-05-03,0.5205768577517462,0.439433596690574
2018-06-04,,0.20372731240363118
2018-07-03,0.530767781825888,0.39006264808561175
2018-08-02,0.5251765251864722,0.2596509514235421
2018-09-04,0.5420748750761897,0.3595072486825517
2018-10-09,0.5273915918897745,0.3680291875435717
2018-11-02,0.3706872685138256,
2018-12-04,0.646955928912323,0.2290671879654509
2019-01-03,0.5825049724207056,0.3528363878184786
2019-02-11,0.17933769756335582,
2019-03-04,0.3110017957876041,
2019-04-02,0.6899865165894041,0.19913737490546568
2019-05-07,0.473252578790998,0.37759921002076857
2019-06-04,0.3122517278257706,
2019-07-02,0.7242175817963334,0.3218118272381896
2019-08-02,0.5791086995728776,0.4132696719851958
2019-09-03,0.5921765247284727,0.3559861776481532
2019-10-09,0.6471518295638519,0.4416299634397036
2019-11-04,0.5308287285465496,0.28823294456089954
2019-12-03,0.3009808024456879,
2020-01-03,,0.14194545369920664
2020-02-04,0.19552262679962196,
2020-03-03,0.46281825717254477,0.33428800454233176
2020-04-02,0.5578594951029514,0.5422265645116648
2020-05-07,0.5116618733735989,0.7561011946769973
2020-06-02,0.579824285762861,0.6229718899045136
2020-07-02,0.26744258309328117,
2020-08-04,0.6128118042362312,0.5324227250349067
2020-09-02,0.43334102287602616,0.3120533483558354
2020-10-12,0.36654356651783804,0.3455453330345555
2020-11-03,0.36575249409533006,0.5278559573008053
2020-12-02,,0.24582973879383507
2021-01-05,,0.19840470133758825
2021-02-02,0.3978102135806363,
2021-03-02,0.6137845319511042,0.4359014894546951
2021-04-02,0.6464867723352468,0.5003705563115686
2021-05-07,0.4767470536547027,0.4935958089056809
2021-06-02,0.642198794125068,0.40307339290793776
2021-07-02,0.46170577622551345,0.339302277804439
2021-08-03,0.44177713135432417,0.3487472836321561
2021-09-02,0.4704022600795339,0.4371309758971993
2021-10-11,,0.30303712110087133
2021-11-02,0.32826496082226275,
2021-12-02,0.4188347594211459,0.5417842586147947
2022-01-05,0.5447560351178558,0.2801180752452508
2022-02-08,0.4396428341371743,
2022-03-02,0.5761292855560389,0.35507669858901036
