,退市,戴帽,停牌,涨停,市值上涨,总数
样本内 2012-12~2022-03,0.0,0.02153716216216216,0.12162162162162163,0.07939189189189189,0.7774493243243243,2368.0
样本外 2022-04~2026-08,0.0,0.06223628691983123,0.013713080168776372,0.09599156118143459,0.8280590717299579,948.0
样本外·新规前 2022-04~2023-12,0.0,0.049738219895287955,0.013089005235602094,0.08638743455497382,0.8507853403141361,382.0
样本外·新规后 2024-01~2026-08,0.0,0.0706713780918728,0.014134275618374558,0.10247349823321555,0.8127208480565371,566.0
